iter	RMSE
0	130098.9542
1	129613.7162
2	129174.6281
3	128653.2768
4	128083.4854
5	127583.0393
6	127028.7701
7	126478.1169
8	125955.9312
9	125454.2282
10	124938.8279
11	124412.9583
12	123898.2708
13	123415.3527
14	122939.8282
15	122545.6899
16	122062.3942
17	121646.4993
18	121196.5181
19	120733.4863
20	120307.4455
21	119891.9536
22	119492.9702
23	119064.7166
24	118665.3404
25	118233.8959
26	117830.1558
27	117446.7744
28	117041.4758
29	116625.8049
30	116271.4394
31	115914.1777
32	115514.582
33	115176.6274
34	114803.1904
35	114438.129
36	114082.7203
37	113747.1337
38	113436.1716
39	113067.4268
40	112727.0524
41	112380.5855
42	112070.9617
43	111746.075
44	111406.7284
45	111102.9242
46	110811.6354
47	110489.2703
48	110144.2342
49	109861.0751
50	109540.5923
51	109225.6578
52	108933.7436
53	108617.7229
54	108325.8596
55	108040.7828
56	107752.609
57	107470.8533
58	107198.7245
59	106918.6858
60	106656.7005
61	106403.8912
62	106132.2999
63	105880.7349
64	105641.8934
65	105414.0526
66	105193.5895
67	104927.7706
68	104692.0319
69	104441.1029
70	104200.28
71	103947.8187
72	103754.0675
73	103517.251
74	103305.7052
75	103104.4866
76	102855.984
77	102619.0874
78	102387.4181
79	102196.3746
80	102010.1658
81	101813.3432
82	101588.8795
83	101357.5231
84	101172.3879
85	100943.1533
86	100745.9491
87	100536.9315
88	100336.788
89	100156.3229
90	99969.40198
91	99777.28689
92	99603.24978
93	99450.09583
94	99266.14431
95	99084.78352
96	98918.6093
97	98742.13216
98	98564.11666
99	98380.28611
100	98218.42962
101	98037.86695
102	97848.35648
103	97668.95099
104	97515.67227
105	97350.22067
106	97194.30917
107	97042.00573
108	96905.59882
109	96718.62506
110	96528.69447
111	96379.07045
112	96232.15482
113	96072.8169
114	95898.84896
115	95736.94896
116	95582.91717
117	95432.76877
118	95294.04079
119	95139.71073
120	94989.06852
121	94852.85599
122	94714.51243
123	94564.97557
124	94434.66752
125	94292.63676
126	94139.94713
127	93991.18878
128	93860.88856
129	93720.74254
130	93585.94714
131	93467.79201
132	93350.35336
133	93214.77516
134	93086.93182
135	92972.27992
136	92851.944
137	92735.67003
138	92625.24894
139	92492.38678
140	92368.93927
141	92235.72874
142	92120.8895
143	91997.421
144	91885.08923
145	91761.91318
146	91628.67093
147	91488.64847
148	91382.86903
149	91276.5399
150	91155.63383
151	91041.33015
152	90922.96505
153	90805.20228
154	90704.87457
155	90596.74019
156	90487.42479
157	90390.76755
158	90306.50987
159	90204.12027
160	90095.90654
161	89993.98147
162	89891.68976
163	89821.58084
164	89716.27467
165	89606.76544
166	89519.82376
167	89417.34136
168	89298.37846
169	89201.90047
170	89080.91429
171	89006.07172
172	88920.68688
173	88818.43586
174	88731.90967
175	88630.48245
176	88529.35238
177	88437.92924
178	88351.81997
179	88263.81034
180	88161.4583
181	88086.10449
182	87982.37722
183	87889.05293
184	87796.83221
185	87704.85992
186	87624.74679
187	87527.10864
188	87451.30003
189	87370.29103
190	87285.26038
191	87207.32453
192	87123.7646
193	87039.11014
194	86946.2595
195	86873.36346
196	86806.48651
197	86744.11391
198	86671.72297
199	86591.32306
200	86509.88362
201	86441.91797
202	86369.75927
203	86293.93137
204	86205.50397
205	86123.53606
206	86040.48885
207	85949.28418
208	85875.55602
209	85792.32703
210	85706.4093
211	85631.57302
212	85570.76286
213	85498.46871
214	85434.73781
215	85357.95373
216	85279.88912
217	85203.33102
218	85144.75572
219	85080.90906
220	85015.50876
221	84940.02978
222	84871.0723
223	84800.20738
224	84728.99619
225	84671.9279
226	84609.34128
227	84539.30867
228	84468.76578
229	84416.28781
230	84366.34248
231	84299.25631
232	84229.85159
233	84167.74643
234	84108.29935
235	84050.21704
236	83995.5107
237	83947.49406
238	83874.04372
239	83809.15433
240	83758.59014
241	83690.53539
242	83626.01986
243	83571.44916
244	83504.93376
245	83435.1579
246	83372.96411
247	83313.13087
248	83250.26134
249	83182.68014
250	83125.17748
251	83079.68437
252	83015.87312
253	82954.83009
254	82900.85548
255	82825.11834
256	82772.36831
257	82721.13009
258	82671.9473
259	82613.19984
260	82566.62155
261	82509.2713
262	82455.42617
263	82398.20451
264	82345.84577
265	82288.5569
266	82236.05168
267	82171.67243
268	82117.55527
269	82065.37712
270	82013.06946
271	81968.14134
272	81916.59859
273	81875.68047
274	81830.26163
