iter	Passed	Remaining
0	32	4875
1	58	4361
2	83	4097
3	106	3903
4	130	3793
5	157	3780
6	193	3960
7	225	3996
8	249	3916
9	276	3873
10	301	3807
11	324	3732
12	350	3691
13	373	3629
14	398	3584
15	421	3526
16	445	3485
17	472	3462
18	497	3429
19	523	3404
20	550	3382
21	575	3347
22	601	3322
23	626	3289
24	655	3276
25	679	3239
26	704	3207
27	728	3174
28	755	3152
29	781	3125
30	812	3119
31	835	3081
32	860	3051
33	883	3012
34	911	2995
35	938	2971
36	964	2946
37	991	2922
38	1017	2896
39	1044	2872
40	1068	2839
41	1092	2810
42	1116	2778
43	1143	2754
44	1181	2756
45	1261	2851
46	1293	2833
47	1315	2794
48	1339	2760
49	1362	2725
50	1385	2688
51	1408	2654
52	1432	2621
53	1461	2598
54	1486	2566
55	1510	2535
56	1538	2509
57	1560	2475
58	1586	2447
59	1611	2416
60	1635	2386
61	1659	2355
62	1686	2328
63	1708	2296
64	1732	2265
65	1756	2235
66	1780	2205
67	1805	2177
68	1827	2145
69	1853	2117
70	1878	2090
71	1904	2063
72	1929	2035
73	1953	2006
74	1977	1977
75	2007	1954
76	2032	1927
77	2058	1900
78	2098	1885
79	2122	1857
80	2145	1827
81	2171	1801
82	2198	1774
83	2220	1744
84	2243	1715
85	2268	1688
86	2297	1663
87	2321	1635
88	2345	1607
89	2369	1579
90	2396	1554
91	2423	1528
92	2449	1501
93	2474	1473
94	2499	1447
95	2522	1418
96	2546	1391
97	2568	1362
98	2591	1334
99	2616	1308
100	2642	1282
101	2667	1255
102	2693	1229
103	2721	1203
104	2748	1177
105	2772	1150
106	2797	1124
107	2822	1097
108	2846	1070
109	2869	1043
110	2896	1017
111	2922	991
112	2946	964
113	2970	937
114	2996	911
115	3021	885
116	3047	859
117	3075	834
118	3110	810
119	3137	784
120	3163	758
121	3190	732
122	3215	705
123	3240	679
124	3264	652
125	3289	626
126	3314	600
127	3340	574
128	3363	547
129	3388	521
130	3411	494
131	3434	468
132	3461	442
133	3485	416
134	3508	389
135	3530	363
136	3556	337
137	3578	311
138	3600	284
139	3624	258
140	3648	232
141	3672	206
142	3694	180
143	3717	154
144	3740	128
145	3766	103
146	3790	77
147	3812	51
148	3835	25
149	3862	0
